"nuts2_code","country_code","year","fertility","poverty","family_exp","Mismatch","dist_to_median"
"NL31","NL",2019,1.62,15.1,110.6,"High Fert / Low Spend",113.81371
"NL13","NL",2019,1.73,14.7,163.5,"High Fert / Low Spend",61.023709999999994
"PT16","PT",2019,1.36295,20.5,163.15,"Low Priority Region",61.333339999999986
"NO06","NO",2018,1.53,15,110.49,"High Fert / Low Spend",113.83371
"NL11","NL",2019,1.41,23.9,110.6,"Low Priority Region",113.83629
"NL23","NL",2019,1.77,16.2,163.5,"High Fert / Low Spend",61.06370999999999
"NL22","NL",2019,1.65,14.6,110.6,"High Fert / Low Spend",113.84371
"NO02","NO",2018,1.51,15.1,110.49,"Low Priority Region",113.84629
"NO02","NO",2018,1.51,15.1,110.49,"Low Priority Region",113.84629
"BG33","BG",2018,1.73954,34.5,163.27,"High Fert / Low Spend",61.263249999999985
"NO03","NO",2018,1.56,13.6,110.49,"High Fert / Low Spend",113.86371
"NO03","NO",2018,1.56,13.6,110.49,"High Fert / Low Spend",113.86371
"NL21","NL",2019,1.68,15.6,110.6,"High Fert / Low Spend",113.87371
"LT01","LT",2018,1.48992,22.2,163.06,"Low Priority Region",61.29636999999999
"NL13","NL",2019,1.73,14.7,110.6,"High Fert / Low Spend",113.92371
"NL13","NL",2019,1.73,14.7,110.6,"High Fert / Low Spend",113.92371
"NL12","NL",2019,1.75,16.5,110.6,"High Fert / Low Spend",113.94371
"BG42","BG",2018,1.83131,39.2,163.27,"High Fert / Low Spend",61.35501999999998
"NL32","NL",2017,1.52,16.7,285.87,"High Investment, Low Fertility",61.55629000000001
"NO04","NO",2018,1.68,17.5,110.49,"High Fert / Low Spend",113.98371
"NO04","NO",2018,1.68,17.5,110.49,"High Fert / Low Spend",113.98371
"BG31","BG",2018,1.88775,42,163.27,"High Fert / Low Spend",61.411459999999984
"FI1C","FI",2018,1.36,17.1,338.43,"High Investment, Low Fertility",114.27629000000002
"FI1B","FI",2018,1.33,11.1,338.43,"High Investment, Low Fertility",114.30629000000002
"SI04","SI",2018,1.58,13.3,110.05,"High Fert / Low Spend",114.32370999999999
"PT15","PT",2019,1.67784,22.7,162.96,"High Fert / Low Spend",61.511549999999986
"SI03","SI",2018,1.64,17.3,110.05,"High Fert / Low Spend",114.38371
"ES61","ES",2017,1.35638,39,110.06,"Low Priority Region",114.42990999999999
"ES24","ES",2017,1.32689,16.2,110.06,"Low Priority Region",114.45939999999999
"HR03","HR",2017,1.39,21.6,162.91,"Low Priority Region",61.54629
"ES52","ES",2017,1.29225,31.9,110.06,"Low Priority Region",114.49403999999998
"ES63","ES",2017,1.79543,46.9,110.06,"High Fert / Low Spend",114.52913999999998
"ES13","ES",2017,1.16135,20.5,110.06,"Low Priority Region",114.62494
"NL42","NL",2017,1.48,15.8,285.87,"High Investment, Low Fertility",61.59629000000001
"NL23","NL",2017,1.72,17.4,285.87,"Balanced Investment",61.743710000000014
"FI1D","FI",2017,1.63,17.9,338.93,"Balanced Investment",114.71371000000002
"FI1B","FI",2017,1.38,12,338.93,"High Investment, Low Fertility",114.75629
"NL11","NL",2017,1.45,21.8,285.87,"High Investment, Low Fertility",61.62629000000001
"ES63","ES",2019,1.48046,49,339.1,"High Investment, Low Fertility",114.82583000000002
"NO03","NO",2019,1.53,14.5,109.45,"High Fert / Low Spend",114.87370999999999
"NO06","NO",2019,1.52,14.4,109.45,"Low Priority Region",114.87628999999998
"NL33","NL",2017,1.64,19.3,285.87,"Balanced Investment",61.66371000000001
"NO07","NO",2019,1.49,16.2,109.45,"Low Priority Region",114.90628999999998
"NO02","NO",2019,1.48,19.7,109.45,"Low Priority Region",114.91628999999999
"NO02","NO",2019,1.48,19.7,109.45,"Low Priority Region",114.91628999999999
"NL22","NL",2017,1.7,15.2,285.87,"Balanced Investment",61.72371000000001
"NO01","NO",2019,1.47,16.2,109.45,"Low Priority Region",114.92629
"NO05","NO",2019,1.6,13.2,109.45,"High Fert / Low Spend",114.94371
"NO05","NO",2019,1.6,13.2,109.45,"High Fert / Low Spend",114.94371
"NL23","NL",2018,1.78,15.6,190.84,"High Fert / Low Spend",33.73370999999999
"SK04","SK",2019,1.69,19.7,286.03,"Balanced Investment",61.87370999999998
"ITC2","IT",2017,1.35592,17.2,161.97,"Low Priority Region",62.52036999999999
"ITH5","IT",2018,1.348,14,157.4,"Low Priority Region",67.09828999999999
"LT01","LT",2018,1.48992,22.2,182.48,"Low Priority Region",41.87637
"ES52","ES",2019,1.23134,28.2,339.1,"High Investment, Low Fertility",115.07495000000003
"ES43","ES",2019,1.2167,36.9,339.1,"High Investment, Low Fertility",115.08959000000003
"ES53","ES",2019,1.17358,16.5,339.1,"High Investment, Low Fertility",115.13271000000003
"NL13","NL",2017,1.77,16.8,285.87,"Balanced Investment",61.79371000000001
"NL41","NL",2017,1.61,14.1,109.2,"High Fert / Low Spend",115.20370999999999
"ES13","ES",2019,1.06379,19.8,339.1,"High Investment, Low Fertility",115.24250000000004
"ES11","ES",2019,1.01814,24.2,339.1,"High Investment, Low Fertility",115.28815000000003
"SK02","SK",2019,1.4,10.2,286.03,"High Investment, Low Fertility",61.83628999999998
"ES70","ES",2019,0.96995,38.3,339.1,"High Investment, Low Fertility",115.33634000000004
"ES64","ES",2019,2.0991,39.7,339.1,"Balanced Investment",115.35281000000003
"NL13","NL",2017,1.77,16.8,109.2,"High Fert / Low Spend",115.36371
"CZ01","CZ",2018,1.56,8.3,286.29,"Balanced Investment",62.00371000000003
"ITH5","IT",2019,1.3,14,162.2,"Low Priority Region",62.34629
"NO06","NO",2019,1.52,14.4,108.81,"Low Priority Region",115.51629
"BG41","BG",2019,1.53127,22.7,108.8,"High Fert / Low Spend",115.52498
"CZ03","CZ",2018,1.72,9.4,286.29,"Balanced Investment",62.16371000000003
"SI04","SI",2019,1.55,10.8,108.79,"High Fert / Low Spend",115.55370999999998
"NO02","NO",2019,1.48,19.7,108.81,"Low Priority Region",115.55628999999999
"NO02","NO",2019,1.48,19.7,108.81,"Low Priority Region",115.55628999999999
"ITH2","IT",2019,1.42,11.4,162.2,"Low Priority Region",62.226290000000006
"NO05","NO",2019,1.6,13.2,108.81,"High Fert / Low Spend",115.58371
"NO05","NO",2019,1.6,13.2,108.81,"High Fert / Low Spend",115.58371
"NO04","NO",2019,1.64,17.4,108.81,"High Fert / Low Spend",115.62370999999999
"ITF3","IT",2019,1.31,48.2,162.2,"Low Priority Region",62.336290000000005
"BG32","BG",2019,1.77018,37.6,108.8,"High Fert / Low Spend",115.76388999999999
"BG42","BG",2019,1.87979,38.1,108.8,"High Fert / Low Spend",115.87349999999999
"BG34","BG",2019,2.15573,37.9,108.8,"High Fert / Low Spend",116.14944
"NO03","NO",2019,1.53,14.5,161.95,"High Fert / Low Spend",62.37371
"ITI1","IT",2019,1.21,18.4,162.2,"Low Priority Region",62.43629000000001
"HR03","HR",2018,1.43,21.2,107.96,"Low Priority Region",116.45629
"ES22","ES",2018,1.37788,13.1,107.99,"Low Priority Region",116.47841
"NO06","NO",2019,1.52,14.4,161.95,"Low Priority Region",62.376290000000004
"CZ08","CZ",2019,1.66,15.1,340.7,"Balanced Investment",116.51370999999999
"CZ07","CZ",2019,1.67,12.8,340.7,"Balanced Investment",116.52371
"NL11","NL",2017,1.45,21.8,107.87,"Low Priority Region",116.52628999999999
"NO07","NO",2019,1.49,16.2,161.95,"Low Priority Region",62.406290000000006
"ES61","ES",2018,1.31519,41.7,107.99,"Low Priority Region",116.5411
"NL33","NL",2017,1.64,19.3,107.87,"High Fert / Low Spend",116.56370999999999
"CZ04","CZ",2019,1.71,19.7,340.7,"Balanced Investment",116.56371
"NO01","NO",2019,1.47,16.2,161.95,"Low Priority Region",62.42629
"CZ03","CZ",2019,1.72,9.3,340.7,"Balanced Investment",116.57370999999999
"ES42","ES",2018,1.26129,33.4,107.99,"Low Priority Region",116.595
"NL31","NL",2017,1.68,14.9,107.87,"High Fert / Low Spend",116.60370999999999
"NO05","NO",2019,1.6,13.2,161.95,"High Fert / Low Spend",62.44371
"ITF3","IT",2017,1.36197,43,161.97,"Low Priority Region",62.51432
"CZ02","CZ",2019,1.76,9.6,340.7,"Balanced Investment",116.61371
"ES23","ES",2018,1.23376,19.1,107.99,"Low Priority Region",116.62253
"ITI3","IT",2019,1.19,18.5,162.2,"Low Priority Region",62.45629
"NL22","NL",2017,1.7,15.2,107.87,"High Fert / Low Spend",116.62370999999999
"NL23","NL",2017,1.72,17.4,107.87,"High Fert / Low Spend",116.64370999999998
"NL23","NL",2017,1.72,17.4,107.87,"High Fert / Low Spend",116.64370999999998
"NO04","NO",2019,1.64,17.4,161.95,"High Fert / Low Spend",62.48371
"NL13","NL",2017,1.77,16.8,107.87,"High Fert / Low Spend",116.69370999999998
"NL13","NL",2017,1.77,16.8,107.87,"High Fert / Low Spend",116.69370999999998
"ES41","ES",2018,1.14267,19.8,107.99,"Low Priority Region",116.71361999999999
"ITG1","IT",2017,1.37181,48.9,161.97,"Low Priority Region",62.504479999999994
"NL41","NL",2018,1.58,13.4,107.57,"High Fert / Low Spend",116.80371
"ES11","ES",2018,1.04073,24.1,107.99,"Low Priority Region",116.81556
"ES12","ES",2018,1.02771,21.8,107.99,"Low Priority Region",116.82858
"HU33","HU",2018,1.55,22.2,258.75,"Balanced Investment",34.45371000000001
"ITF5","IT",2017,1.20013,31.9,161.97,"Low Priority Region",62.676159999999996
"NO04","NO",2019,1.64,17.4,161,"High Fert / Low Spend",63.43370999999999
"RO32","RO",2017,1.52,31.8,107.43,"Low Priority Region",116.89629
"ITF6","IT",2017,1.30506,43.9,161.97,"Low Priority Region",62.57122999999999
"NL12","NL",2018,1.71,16.3,107.57,"High Fert / Low Spend",116.93371
"RO42","RO",2017,1.58,31.8,107.43,"High Fert / Low Spend",116.94370999999998
"RO41","RO",2017,1.63,52.5,107.43,"High Fert / Low Spend",116.99371
"ITI3","IT",2017,1.26097,20.9,161.97,"Low Priority Region",62.61532
"RO11","RO",2017,1.7,35.6,107.43,"High Fert / Low Spend",117.06370999999999
"RO31","RO",2017,1.74,50.2,107.43,"High Fert / Low Spend",117.10370999999999
"RO12","RO",2017,1.88,29.7,107.43,"High Fert / Low Spend",117.24371
"ITG2","IT",2019,1,27.4,162.2,"Low Priority Region",62.64629000000001
"EL43","EL",2018,1.52,34.8,106.91,"Low Priority Region",117.41629
"EL62","EL",2018,1.6,26.2,106.91,"High Fert / Low Spend",117.48371
"RO21","RO",2017,2.16,49.6,107.43,"High Fert / Low Spend",117.52370999999998
"RO32","RO",2017,1.52,31.8,161.58,"Low Priority Region",62.74628999999998
"EL65","EL",2018,1.35,29.2,287.07,"High Investment, Low Fertility",62.92629
"CH02","CH",2019,1.5,21.1,106.76,"Low Priority Region",117.58628999999999
"RO32","RO",2018,1.53,28.2,106.72,"High Fert / Low Spend",117.60370999999999
"RO42","RO",2017,1.58,31.8,161.58,"High Fert / Low Spend",62.79370999999998
"EL51","EL",2018,1.32,33.5,106.91,"Low Priority Region",117.61628999999999
"EL52","EL",2018,1.28,29.3,106.91,"Low Priority Region",117.65629
"RO42","RO",2018,1.6,24.2,106.72,"High Fert / Low Spend",117.67371
"RO41","RO",2017,1.63,52.5,161.58,"High Fert / Low Spend",62.84370999999998
"ES62","ES",2019,1.49064,33.4,106.65,"Low Priority Region",117.70564999999999
"ES63","ES",2019,1.48046,49,106.65,"Low Priority Region",117.71582999999998
"EL54","EL",2018,1.22,31.1,106.91,"Low Priority Region",117.71629
"EL30","EL",2018,1.36,27,287.07,"High Investment, Low Fertility",62.91629
"RO11","RO",2018,1.69,28.8,106.72,"High Fert / Low Spend",117.76370999999999
"NL32","NL",2019,1.46,17,106.59,"Low Priority Region",117.79628999999998
"ES22","ES",2019,1.38361,12.4,106.65,"Low Priority Region",117.81267999999999
"RO31","RO",2017,1.74,50.2,161.58,"High Fert / Low Spend",62.95370999999998
"HR03","HR",2019,1.42,19.4,161.3,"Low Priority Region",63.12628999999998
"NL42","NL",2019,1.43,15.5,106.59,"Low Priority Region",117.82628999999999
"NL22","NL",2019,1.65,14.6,106.59,"High Fert / Low Spend",117.85370999999999
"EL63","EL",2018,1.29,41.1,287.07,"High Investment, Low Fertility",62.98629
"ES23","ES",2019,1.30172,15.8,106.65,"Low Priority Region",117.89456999999999
"RO22","RO",2018,1.84,50.3,106.72,"High Fert / Low Spend",117.91371
"RO22","RO",2018,1.84,50.3,106.72,"High Fert / Low Spend",117.91371
"HR04","HR",2019,1.49,21.6,161.3,"Low Priority Region",63.05628999999998
"NL34","NL",2019,1.73,14.8,106.59,"High Fert / Low Spend",117.93370999999999
"ES24","ES",2019,1.25335,20.5,106.65,"Low Priority Region",117.94294
"ES21","ES",2019,1.24932,15,106.65,"Low Priority Region",117.94697
"RO22","RO",2017,1.89,52.4,161.58,"High Fert / Low Spend",63.10370999999998
"NL12","NL",2019,1.75,16.5,106.59,"High Fert / Low Spend",117.95370999999999
"ES52","ES",2019,1.23134,28.2,106.65,"Low Priority Region",117.96494999999999
"ES30","ES",2019,1.21957,20.2,106.65,"Low Priority Region",117.97671999999999
"HR03","HR",2018,1.43,21.2,161.2,"Low Priority Region",63.21629000000001
"NO05","NO",2019,1.6,13.2,161,"High Fert / Low Spend",63.39370999999999
"ES41","ES",2019,1.12497,16.8,106.65,"Low Priority Region",118.07131999999999
"ES13","ES",2019,1.06379,19.8,106.65,"Low Priority Region",118.1325
"NO06","NO",2019,1.52,14.4,161,"Low Priority Region",63.32628999999999
"ES11","ES",2019,1.01814,24.2,106.65,"Low Priority Region",118.17814999999999
"ES70","ES",2019,0.96995,38.3,106.65,"Low Priority Region",118.22634
"ES12","ES",2019,0.95664,25,106.65,"Low Priority Region",118.23964999999998
"NO02","NO",2019,1.48,19.7,161,"Low Priority Region",63.36628999999999
"CZ01","CZ",2018,1.56,8.3,105.79,"High Fert / Low Spend",118.56370999999999
"CZ04","CZ",2018,1.66,17,105.79,"High Fert / Low Spend",118.66370999999998
"NL32","NL",2018,1.49,17.2,105.69,"Low Priority Region",118.66628999999999
"NO01","NO",2019,1.47,16.2,161,"Low Priority Region",63.37628999999999
"NL41","NL",2018,1.58,13.4,105.69,"High Fert / Low Spend",118.68370999999999
"NL41","NL",2018,1.58,13.4,105.69,"High Fert / Low Spend",118.68370999999999
"NL42","NL",2018,1.45,16.9,105.69,"Low Priority Region",118.70629
"ITF4","IT",2019,1.2,37,258.68,"High Investment, Low Fertility",34.686290000000014
"SE33","SE",2019,1.7,16.3,288.53,"Balanced Investment",64.38370999999998
"RO22","RO",2019,1.84,49.5,158.78,"High Fert / Low Spend",65.85370999999999
"NL31","NL",2018,1.63,13.5,105.69,"High Fert / Low Spend",118.73371
"CZ08","CZ",2019,1.66,15.1,288.43,"Balanced Investment",64.24371000000001
"CZ05","CZ",2018,1.74,11.6,105.79,"High Fert / Low Spend",118.74371
"CZ06","CZ",2018,1.76,11.3,105.79,"High Fert / Low Spend",118.76370999999999
"NL22","NL",2018,1.66,15.2,105.69,"High Fert / Low Spend",118.76370999999999
"CZ04","CZ",2019,1.71,19.7,288.43,"Balanced Investment",64.29371000000002
"NL11","NL",2018,1.39,22.1,105.69,"Low Priority Region",118.76629
"NL13","NL",2018,1.68,14.8,105.69,"High Fert / Low Spend",118.78371
"NL21","NL",2018,1.69,15.7,105.69,"High Fert / Low Spend",118.79370999999999
"CZ06","CZ",2019,1.77,11.9,288.43,"Balanced Investment",64.35371
"NL34","NL",2018,1.72,14,105.69,"High Fert / Low Spend",118.82370999999999
"ES62","ES",2017,1.54678,35.6,105.47,"High Fert / Low Spend",118.87048999999999
"NL23","NL",2018,1.78,15.6,105.69,"High Fert / Low Spend",118.88371
"SE23","SE",2019,1.71,18.7,288.53,"Balanced Investment",64.39370999999998
"PT16","PT",2019,1.36295,20.5,159.73,"Low Priority Region",64.75334000000001
"ES51","ES",2017,1.36858,20.2,105.47,"Low Priority Region",119.00770999999999
"ES23","ES",2017,1.33934,13.9,105.47,"Low Priority Region",119.03694999999999
"SE12","SE",2019,1.72,18.4,288.53,"Balanced Investment",64.40370999999998
"ES42","ES",2017,1.30795,34.9,105.47,"Low Priority Region",119.06833999999999
"ES43","ES",2017,1.28931,44.9,105.47,"Low Priority Region",119.08698
"BG33","BG",2018,1.73954,34.5,105.41,"High Fert / Low Spend",119.12325
"SE32","SE",2019,1.82,23.6,288.53,"Balanced Investment",64.50370999999998
"BG42","BG",2018,1.83131,39.2,105.41,"High Fert / Low Spend",119.21502
"ES11","ES",2017,1.11971,23,105.47,"Low Priority Region",119.25658
"BG31","BG",2018,1.88775,42,105.41,"High Fert / Low Spend",119.27145999999999
"PT17","PT",2019,1.62614,17.5,159.73,"High Fert / Low Spend",64.68985
"RO32","RO",2018,1.53,28.2,104.86,"High Fert / Low Spend",119.46370999999999
"RO42","RO",2018,1.6,24.2,104.86,"High Fert / Low Spend",119.53371
"ES64","ES",2017,2.2558,30.2,105.47,"High Fert / Low Spend",119.57951
"PT30","PT",2019,1.3177,32,159.73,"Low Priority Region",64.79859
"PL63","PL",2019,1.62,15,289.66,"Balanced Investment",65.43371000000003
"RO31","RO",2018,1.74,45.6,104.86,"High Fert / Low Spend",119.67371
"RO12","RO",2018,1.84,27.6,104.86,"High Fert / Low Spend",119.77371
"HR03","HR",2017,1.39,21.6,159.57,"Low Priority Region",64.88629
"RO32","RO",2018,1.53,28.2,104.52,"High Fert / Low Spend",119.80371
"RO42","RO",2018,1.6,24.2,104.52,"High Fert / Low Spend",119.87371
"RO41","RO",2018,1.66,47.4,104.52,"High Fert / Low Spend",119.93370999999999
"HR04","HR",2019,1.49,21.6,159.14,"Low Priority Region",65.21629
"NL41","NL",2019,1.55,13.8,104.37,"High Fert / Low Spend",119.97370999999998
"RO31","RO",2018,1.74,45.6,104.52,"High Fert / Low Spend",120.01371
"NL32","NL",2019,1.46,17,104.37,"Low Priority Region",120.01628999999998
"PL41","PL",2019,1.55,17.3,289.66,"Balanced Investment",65.36371000000003
"NL33","NL",2019,1.6,19.4,104.37,"High Fert / Low Spend",120.02371
"NL31","NL",2019,1.62,15.1,104.37,"High Fert / Low Spend",120.04370999999999
"NL42","NL",2019,1.43,15.5,104.37,"Low Priority Region",120.04628999999998
"PL61","PL",2019,1.39,22.2,289.66,"High Investment, Low Fertility",65.47629000000003
"RO11","RO",2019,1.69,23.4,158.78,"High Fert / Low Spend",65.70370999999999
"NL21","NL",2019,1.68,15.6,104.37,"High Fert / Low Spend",120.10370999999999
"RO12","RO",2018,1.84,27.6,104.52,"High Fert / Low Spend",120.11371
"PL71","PL",2019,1.36,17.1,289.66,"High Investment, Low Fertility",65.50629000000004
"NL13","NL",2019,1.73,14.7,104.37,"High Fert / Low Spend",120.15370999999999
"NL13","NL",2019,1.73,14.7,104.37,"High Fert / Low Spend",120.15370999999999
"NL12","NL",2019,1.75,16.5,104.37,"High Fert / Low Spend",120.17370999999999
"PL52","PL",2019,1.33,17.8,289.66,"High Investment, Low Fertility",65.53629000000004
"RO21","RO",2018,2.09,49.9,104.52,"High Fert / Low Spend",120.36371
"FI1D","FI",2018,1.53,20.3,344.88,"Balanced Investment",120.56371
"LT02","LT",2017,1.59857,32.4,344.85,"Balanced Investment",120.60228000000004
"PL72","PL",2019,1.26,20.3,289.66,"High Investment, Low Fertility",65.60629000000003
"FI1B","FI",2018,1.33,11.1,344.88,"High Investment, Low Fertility",120.75629
"EL42","EL",2018,1.54,31.6,103.47,"High Fert / Low Spend",120.86371
"EL41","EL",2018,1.63,31.9,103.47,"High Fert / Low Spend",120.95371
"SI04","SI",2018,1.58,13.3,188.48,"High Fert / Low Spend",35.893710000000006
"ITH2","IT",2019,1.42,11.4,158.12,"Low Priority Region",66.30628999999999
"ITG1","IT",2018,1.37221,49.5,157.4,"Low Priority Region",67.07407999999998
"CZ08","CZ",2017,1.6,19.7,103.32,"High Fert / Low Spend",121.07371
"ITC2","IT",2018,1.38873,13.1,290.38,"High Investment, Low Fertility",66.19756
"SI04","SI",2019,1.55,10.8,103.22,"High Fert / Low Spend",121.12370999999999
"CZ07","CZ",2017,1.67,11.2,103.32,"High Fert / Low Spend",121.14371
"CZ07","CZ",2017,1.67,11.2,103.32,"High Fert / Low Spend",121.14371
"ITH3","IT",2018,1.34451,13.2,290.38,"High Investment, Low Fertility",66.24178
"CZ05","CZ",2017,1.7,10.1,103.32,"High Fert / Low Spend",121.17371
"CZ05","CZ",2017,1.7,10.1,103.32,"High Fert / Low Spend",121.17371
"CZ06","CZ",2017,1.73,11,103.32,"High Fert / Low Spend",121.20371
"ITF6","IT",2018,1.2891,40.7,290.38,"High Investment, Low Fertility",66.29719
"CZ02","CZ",2017,1.79,11,103.32,"High Fert / Low Spend",121.26371
"LT01","LT",2017,1.49406,23.1,103.03,"Low Priority Region",121.32222999999999
"LT02","LT",2017,1.59857,32.4,103.03,"High Fert / Low Spend",121.36228
"ITI4","IT",2018,1.25317,25.7,290.38,"High Investment, Low Fertility",66.33312000000001
"ITC1","IT",2019,1.27,16.3,158.12,"Low Priority Region",66.45629
"EL41","EL",2019,1.6,30.7,102.78,"High Fert / Low Spend",121.61371
"BG31","BG",2018,1.88775,42,345.61,"Balanced Investment",121.65146000000001
"ITI2","IT",2018,1.22402,17,290.38,"High Investment, Low Fertility",66.36227
"EL51","EL",2019,1.3,34,102.78,"Low Priority Region",121.76629
"EL52","EL",2019,1.27,30.6,102.78,"Low Priority Region",121.79629
"EL54","EL",2019,1.24,26.8,102.78,"Low Priority Region",121.82628999999999
"ITC4","IT",2019,1.33,16.6,158.12,"Low Priority Region",66.39629
"ES62","ES",2019,1.49064,33.4,102.2,"Low Priority Region",122.15565
"ES63","ES",2019,1.48046,49,102.2,"Low Priority Region",122.16582999999999
"ES22","ES",2019,1.38361,12.4,102.2,"Low Priority Region",122.26267999999999
"ITH3","IT",2019,1.29,10.3,158.12,"Low Priority Region",66.43628999999999
"ES23","ES",2019,1.30172,15.8,102.2,"Low Priority Region",122.34456999999999
"ES51","ES",2019,1.26909,18.8,102.2,"Low Priority Region",122.37719999999999
"ES24","ES",2019,1.25335,20.5,102.2,"Low Priority Region",122.39294
"ITH4","IT",2019,1.25,13.5,158.12,"Low Priority Region",66.47628999999999
"CZ04","CZ",2018,1.66,17,291.05,"Balanced Investment",66.86371000000001
"ES52","ES",2019,1.23134,28.2,102.2,"Low Priority Region",122.41494999999999
"ES30","ES",2019,1.21957,20.2,102.2,"Low Priority Region",122.42671999999999
"ITI2","IT",2019,1.2,12.3,158.12,"Low Priority Region",66.52628999999999
"BG33","BG",2017,1.68931,40.4,102.05,"High Fert / Low Spend",122.43302
"ES53","ES",2019,1.17358,16.5,102.2,"Low Priority Region",122.47270999999999
"BG41","BG",2017,1.45777,26,346.74,"High Investment, Low Fertility",122.48852000000002
"ITG2","IT",2018,1.03521,33.6,290.38,"High Investment, Low Fertility",66.55108
"NL32","NL",2017,1.52,16.7,101.79,"Low Priority Region",122.53628999999998
"NL42","NL",2017,1.48,15.8,101.79,"Low Priority Region",122.57628999999999
"ES13","ES",2019,1.06379,19.8,102.2,"Low Priority Region",122.5825
"ITG2","IT",2019,1,27.4,158.12,"Low Priority Region",66.72628999999999
"NL11","NL",2017,1.45,21.8,101.79,"Low Priority Region",122.60628999999999
"BG32","BG",2017,1.71635,43,346.74,"Balanced Investment",122.61006000000002
"NL41","NL",2017,1.61,14.1,101.79,"High Fert / Low Spend",122.61370999999998
"CZ08","CZ",2018,1.68,16,291.05,"Balanced Investment",66.88371000000002
"ITC2","IT",2018,1.38873,13.1,157.4,"Low Priority Region",67.05755999999998
"ES70","ES",2019,0.96995,38.3,102.2,"Low Priority Region",122.67634
"NL31","NL",2017,1.68,14.9,101.79,"High Fert / Low Spend",122.68370999999999
"CZ02","CZ",2018,1.74,9.4,291.05,"Balanced Investment",66.94371000000002
"ES64","ES",2019,2.0991,39.7,102.2,"High Fert / Low Spend",122.69281
"NL22","NL",2017,1.7,15.2,101.79,"High Fert / Low Spend",122.70370999999999
"NL23","NL",2017,1.72,17.4,101.79,"High Fert / Low Spend",122.72370999999998
"ITH2","IT",2018,1.4505,18.8,157.4,"Low Priority Region",66.99578999999999
"HU23","HU",2017,1.55,30.4,101.6,"High Fert / Low Spend",122.74371
"BG31","BG",2017,1.85291,47.4,346.74,"Balanced Investment",122.74662000000002
"NL34","NL",2017,1.76,12.7,101.79,"High Fert / Low Spend",122.76370999999999
"HR03","HR",2017,1.39,21.6,157.43,"Low Priority Region",67.02628999999999
"NL13","NL",2017,1.77,16.8,101.79,"High Fert / Low Spend",122.77371
"HU22","HU",2017,1.46,19.9,101.6,"Low Priority Region",122.78629
"NL42","NL",2017,1.48,15.8,347.1,"High Investment, Low Fertility",122.82629000000003
"HU31","HU",2019,1.83,26.7,187.99,"High Fert / Low Spend",36.63370999999999
"ITI4","IT",2018,1.25317,25.7,157.4,"Low Priority Region",67.19312
"BG31","BG",2017,1.85291,47.4,156.72,"High Fert / Low Spend",67.92662
"CZ05","CZ",2019,1.76,12.4,296.03,"Balanced Investment",71.94370999999998
"CZ05","CZ",2019,1.76,12.4,291.19,"Balanced Investment",67.10371
"NL22","NL",2018,1.66,15.2,101.51,"High Fert / Low Spend",122.94370999999998
"NL22","NL",2017,1.7,15.2,347.1,"Balanced Investment",122.95371000000003
"NL21","NL",2018,1.69,15.7,101.51,"High Fert / Low Spend",122.97370999999998
"ITH1","IT",2018,1.72907,12.7,157.4,"High Fert / Low Spend",67.12277999999999
"BG34","BG",2017,2.10908,39.9,346.74,"Balanced Investment",123.00279000000002
"HU31","HU",2017,1.82,36.4,101.6,"High Fert / Low Spend",123.01371
"NL13","NL",2017,1.77,16.8,347.1,"Balanced Investment",123.02371000000002
"ITH4","IT",2018,1.28507,12.2,157.4,"Low Priority Region",67.16121999999999
"RO32","RO",2017,1.52,31.8,101.13,"Low Priority Region",123.19629
"RO42","RO",2017,1.58,31.8,101.13,"High Fert / Low Spend",123.24371
"RO41","RO",2017,1.63,52.5,101.13,"High Fert / Low Spend",123.29371
"ITF4","IT",2018,1.23363,35.8,157.4,"Low Priority Region",67.21265999999999
"PT17","PT",2019,1.62614,17.5,156.99,"High Fert / Low Spend",67.42984999999999
"RO12","RO",2017,1.88,29.7,101.13,"High Fert / Low Spend",123.54371
"BG32","BG",2019,1.77018,37.6,347.62,"Balanced Investment",123.54389
"ITF1","IT",2018,1.2048,25.8,157.4,"Low Priority Region",67.24148999999998
"BG42","BG",2019,1.87979,38.1,347.62,"Balanced Investment",123.65350000000001
"RO21","RO",2017,2.16,49.6,101.13,"High Fert / Low Spend",123.82370999999999
"CH05","CH",2019,1.53,17.2,100.4,"High Fert / Low Spend",123.92370999999999
"PT20","PT",2019,1.35461,36.7,157.18,"Low Priority Region",67.31167999999998
"CH06","CH",2019,1.54,14.2,100.4,"High Fert / Low Spend",123.93370999999999
"CH02","CH",2019,1.5,21.1,100.4,"Low Priority Region",123.94628999999999
"CH02","CH",2019,1.5,21.1,100.4,"Low Priority Region",123.94628999999999
"PT11","PT",2019,1.28793,22.3,157.18,"Low Priority Region",67.37835999999999
"CH04","CH",2019,1.42,13.1,100.4,"Low Priority Region",124.02628999999999
"RO32","RO",2017,1.52,31.8,100.16,"Low Priority Region",124.16629
"CH07","CH",2019,1.26,26.7,100.4,"Low Priority Region",124.18628999999999
"PT16","PT",2019,1.36295,20.5,156.99,"Low Priority Region",67.49333999999999
"ITH4","IT",2017,1.31574,13.1,291.81,"High Investment, Low Fertility",67.70055
"HU23","HU",2019,1.58,25,100.12,"High Fert / Low Spend",124.25370999999998
"RO41","RO",2017,1.63,52.5,100.16,"High Fert / Low Spend",124.26371
"PT11","PT",2019,1.28793,22.3,156.99,"Low Priority Region",67.56835999999998
